fcu_oveTSup_u,fcu_oveFan_u,zon_reaTRooAir_y,zon_weaSta_reaWeaTDryBul_y,time
305.25573435095964,0.6204992422493247,300.2667616197361,272.45,29325000
297.25573435095964,0.7786878342057414,297.2994942371943,272.6105416666666,29325300
305.25573435095964,0.6542844570797958,299.6068244072398,272.75,29325600
312.85835824544904,0.8542844570797958,303.776290123966,272.8760439814815,29325900
304.85835824544904,0.81656828500035,301.2321215581967,273.00046296296296,29326200
296.85835824544904,0.61656828500035,297.6612685798241,273.1236875,29326500
304.85835824544904,0.41656828500035,298.90356447020235,273.2461481481481,29326800
297.39612070782346,0.2165682850003499,297.366820128734,273.3682754629629,29327100
292.1039810537846,0.41656828500035,295.2501278145112,273.4905,29327400
300.1039810537846,0.61656828500035,297.1592271020656,273.6132523148148,29327700
292.1039810537846,0.41656828500035,295.1548232689888,273.73696296296293,29328000
298.659885789693,0.61656828500035,296.59337318673124,273.8620625,29328300
296.9632597424651,0.41656828500035,296.32776170983243,273.98898148148146,29328600
304.700572308555,0.2655763870431087,297.6721649420075,274.11815046296294,29328900
296.700572308555,0.4655763870431088,296.68299855035207,274.25,29329200
302.2031948848783,0.3539877418675392,297.6917009322676,274.3833912037037,29329500
310.2031948848783,0.5338324281999651,301.07622084351505,274.5171296296296,29329800
302.2031948848783,0.3499914868960048,299.3222099695769,274.65156249999995,29330100
299.3903595999723,0.5499914868960047,298.2540225354268,274.787037037037,29330400
291.3903595999723,0.3499914868960047,295.7901614988349,274.92390046296293,29330700
299.3903595999723,0.5499914868960047,297.12836397979083,275.0625,29331000
307.3903595999723,0.3499914868960047,299.2568449988484,275.2031828703704,29331300
300.9732418890513,0.1642417394128827,298.27405302506094,275.34629629629626,29331600
292.9732418890513,0.3642417394128828,296.24679514001866,275.4921875,29331900
300.9732418890513,0.5642417394128828,297.9393769570107,275.6412037037037,29332200
292.9732418890513,0.5783800861105493,295.6597770783624,275.7936921296296,29332500
289.8210389232467,0.3783800861105492,294.5178207185845,275.95,29332800
297.8210389232467,0.2478880839300146,295.92318867518367,276.10918692129627,29333100
298.8059672605316,0.4478880839300146,297.01842169206594,276.27002314814814,29333400
295.0610630207987,0.2681941693142199,296.53688022999745,276.432421875,29333700
303.0610630207987,0.46819416931421987,298.6109796736154,276.59629629629626,29334000
295.0610630207987,0.6681941693142199,296.6724628440222,276.76155960648146,29334300
297.29945390256967,0.46819416931421987,297.02277563892056,276.928125,29334600
